Header line count: 79
Export version: 3.12
User:
 - name: Labor Labor
 - login: Labor
 - email: N/A

Project:
 - name: Practical Course EC2 SoSe25
 - tags: N/A
 - creator: Labor Labor

Test Plan:
 - name: CoinCell_Cycling_SoSe25
 - tags: N/A
 - creator: Labor Labor
 - tasks:
Step,Type,Control Parameters,Limits,Record Conditions
1,REST,,TIME > 6.0000h then NEXT_STEP,DELTA_TIME = 30.000s
2,LOOP,LOOP_ID: LOOP_1 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
3,CC,I: 237.50µA I_RANGE_MODE: FIX I_RANGE: 1.0000mA,TIME > 12.000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 30.000s
4,CC,I: -237.50µA I_RANGE_MODE: FIX I_RANGE: 1.0000mA,TIME > 12.000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 30.000s
N/A,LOOP,END LOOP_ID : LOOP_1,
5,LOOP,LOOP_ID: LOOP_2 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
6,CC,I: 2375.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 2.0000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 10.000s
7,CC,I: -2375.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 2.0000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 10.000s
N/A,LOOP,END LOOP_ID : LOOP_2,
8,LOOP,LOOP_ID: LOOP_3 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
9,CC,I: 4750.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 1.0000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 5.0000s
10,CC,I: -4750.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 1.0000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 5.0000s
N/A,LOOP,END LOOP_ID : LOOP_3,
 - no user variable
 - safety limits (after a time of 10.000ms):
  - U > 4.7000V then SAFETY_STOP

DUT Type:
 - name: Default Device Under Test
 - electrolyte: N/A
 - electrode material: N/A
 - description: N/A
 - tags: N/A
 - nominal capacity: N/A
 - maximum voltage: N/A
 - nominal voltage: N/A
 - minimum voltage: N/A
 - nominal energy: N/A
 - maximum discharge current: N/A
 - maximum charge current: N/A
 - mass: N/A
 - volume: N/A
 - surface area: N/A
 - characteristic mass: N/A
 - mass of active material: N/A
 - x: N/A
 - Molecular weight of active material at x=0: N/A
 - Acquisition started at x0=: N/A
 - Intercalated ion molecular weight of active material at x=0: N/A
 - Number of electrons transferred per intercalated ions: N/A

Test Run:
  - name: EC2_Group3_DS
  - tags: N/A
  - creator: Labor Labor
  - batch number: N/A
  - started on: 2025-09-16 10:23:18.671817
  - finished on: 2025-09-16 21:51:28.041441

Dut Run:
  - DUT Name: N/A
  - Comment: N/A

Instrument:
  - channel: A.7
  - model: BCS-905
  - serial number: 0729

System version: 3.0.0-9
System address: 10.128.128.50

Time /s,Step,Task,Cycle number,Loop 1 number,Loop 2 number,Loop 3 number,Loop 4 number,U /V,I /A,P /W,Q /Ah,Q charge /Ah,Q discharge /Ah,Capacity /Ah,Energy /Wh,Energy charge /Wh,Energy discharge /Wh,Temperature /CelsiusDegrees,I Range /A,Phase,Frequency /Hz,Ua /V,Ia /A,Impedance module /Ohms,Impedance phase /rad,Real impedance /Ohms,- Imaginary impedance /Ohms,Admittance module /Ohms,Admittance phase /rad,Real admittance /Ohms,Imaginary admittance /Ohms,@Var1,@Var2,@Var3,@Var4,@Var5,@Var6,@Var7,@Var8,@Var9,@Var10,Date Time /ns,Duration (step) /s,Umin (step) /V,Umax (step) /V,Umean (step) /V,Ubegin (step) /V,Uend (step) /V,Imin (step) /A,Imax (step) /A,Imean (step) /A,Ibegin (step) /A,Iend (step) /A,Q (step) /Ah,Q charge (step) /Ah,Q discharge (step) /Ah,Energy (step) /Wh,Energy charge (step) /Wh,Energy discharge (step) /Wh,Pmin (step) /W,Pmax (step) /W,Rdc (step) /Ohms,Rac (step) /Ohms,Counter value (loop),Loop ID (loop),List value (loop),Duration (loop) /s,Q (loop) /Ah,Q charge (loop) /Ah,Q discharge (loop) /Ah,Energy (loop) /Wh,Energy charge (loop) /Wh,Energy discharge (loop) /Wh,Duration (cycle) /s,Q (cycle) /Ah,Q charge (cycle) /Ah,Q discharge (cycle) /Ah,Efficiency (cycle) /none,Energy (cycle) /Wh,Energy charge (cycle) /Wh,Energy discharge (cycle) /Wh
0.005,task_1,REST,,,,,,0.3497715890407562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018198.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.005,task_1,REST,,,,,,0.34353962540626526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018228.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.005,task_1,REST,,,,,,0.37384742498397827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018258.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.005,task_1,REST,,,,,,0.37770482897758484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018288.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.005,task_1,REST,,,,,,0.3815024197101593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018318.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.005,task_1,REST,,,,,,0.38477155566215515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018348.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.005,task_1,REST,,,,,,0.39110273122787476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018378.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210.005,task_1,REST,,,,,,0.39362862706184387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018408.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.005,task_1,REST,,,,,,0.3475436866283417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018438.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.005,task_1,REST,,,,,,0.07146310806274414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018468.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.005,task_1,REST,,,,,,0.2896052896976471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018498.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330.005,task_1,REST,,,,,,0.38811156153678894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018528.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.005,task_1,REST,,,,,,0.03970363363623619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018558.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390.005,task_1,REST,,,,,,0.17565345764160156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018588.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.005,task_1,REST,,,,,,0.05497755482792854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018618.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450.005,task_1,REST,,,,,,0.3457752466201782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018648.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480.005,task_1,REST,,,,,,0.31632718443870544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018678.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510.005,task_1,REST,,,,,,0.3413480818271637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018708.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540.005,task_1,REST,,,,,,-0.01990555040538311,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018738.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570.005,task_1,REST,,,,,,0.18003807961940765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018768.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600.005,task_1,REST,,,,,,0.2973172962665558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018798.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630.005,task_1,REST,,,,,,0.11745496839284897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018828.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660.005,task_1,REST,,,,,,0.12259825319051743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018858.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690.005,task_1,REST,,,,,,0.18088209629058838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018888.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720.005,task_1,REST,,,,,,0.2992626130580902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018918.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750.005,task_1,REST,,,,,,0.2620902359485626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018948.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780.005,task_1,REST,,,,,,0.2635117173194885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018978.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810.005,task_1,REST,,,,,,0.3195565640926361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019008.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840.005,task_1,REST,,,,,,0.2952030897140503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019038.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870.005,task_1,REST,,,,,,0.27492639422416687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019068.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900.005,task_1,REST,,,,,,0.386552631855011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019098.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930.005,task_1,REST,,,,,,0.3813021183013916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019128.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960.005,task_1,REST,,,,,,0.3369998335838318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019158.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990.005,task_1,REST,,,,,,0.3652741611003876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019188.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020.005,task_1,REST,,,,,,0.2813919484615326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019218.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050.005,task_1,REST,,,,,,0.1732569932937622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019248.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080.005,task_1,REST,,,,,,0.2160099297761917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019278.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110.005,task_1,REST,,,,,,0.3293115794658661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019308.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140.005,task_1,REST,,,,,,0.30565541982650757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019338.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170.005,task_1,REST,,,,,,0.24585704505443573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019368.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.005,task_1,REST,,,,,,0.3968866467475891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758019398.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
