Header line count: 79
Export version: 3.12
User:
 - name: Labor Labor
 - login: Labor
 - email: N/A

Project:
 - name: Practical Course EC2 SoSe25
 - tags: N/A
 - creator: Labor Labor

Test Plan:
 - name: CoinCell_Cycling_SoSe25
 - tags: N/A
 - creator: Labor Labor
 - tasks:
Step,Type,Control Parameters,Limits,Record Conditions
1,REST,,TIME > 6.0000h then NEXT_STEP,DELTA_TIME = 30.000s
2,LOOP,LOOP_ID: LOOP_1 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
3,CC,I: 237.50µA I_RANGE_MODE: FIX I_RANGE: 1.0000mA,TIME > 12.000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 30.000s
4,CC,I: -237.50µA I_RANGE_MODE: FIX I_RANGE: 1.0000mA,TIME > 12.000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 30.000s
N/A,LOOP,END LOOP_ID : LOOP_1,
5,LOOP,LOOP_ID: LOOP_2 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
6,CC,I: 2375.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 2.0000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 10.000s
7,CC,I: -2375.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 2.0000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 10.000s
N/A,LOOP,END LOOP_ID : LOOP_2,
8,LOOP,LOOP_ID: LOOP_3 LOOP_MODE: COUNTER COUNTER: 1 ,COUNTER > 10 then NEXT_STEP,
9,CC,I: 4750.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 1.0000h then NEXT_STEP U > 4.2000V then NEXT_STEP,DELTA_TIME = 5.0000s
10,CC,I: -4750.0µA I_RANGE_MODE: FIX I_RANGE: 10.000mA,TIME > 1.0000h then NEXT_STEP U < 2.4000V then NEXT_STEP,DELTA_TIME = 5.0000s
N/A,LOOP,END LOOP_ID : LOOP_3,
 - no user variable
 - safety limits (after a time of 10.000ms):
  - U > 4.7000V then SAFETY_STOP

DUT Type:
 - name: Default Device Under Test
 - electrolyte: N/A
 - electrode material: N/A
 - description: N/A
 - tags: N/A
 - nominal capacity: N/A
 - maximum voltage: N/A
 - nominal voltage: N/A
 - minimum voltage: N/A
 - nominal energy: N/A
 - maximum discharge current: N/A
 - maximum charge current: N/A
 - mass: N/A
 - volume: N/A
 - surface area: N/A
 - characteristic mass: N/A
 - mass of active material: N/A
 - x: N/A
 - Molecular weight of active material at x=0: N/A
 - Acquisition started at x0=: N/A
 - Intercalated ion molecular weight of active material at x=0: N/A
 - Number of electrons transferred per intercalated ions: N/A

Test Run:
  - name: EC2_Group3_FZ
  - tags: N/A
  - creator: Labor Labor
  - batch number: N/A
  - started on: 2025-09-16 10:22:58.181835
  - finished on: 2025-09-16 19:54:16.281334

Dut Run:
  - DUT Name: N/A
  - Comment: N/A

Instrument:
  - channel: A.6
  - model: BCS-905
  - serial number: 0729

System version: 3.0.0-9
System address: 10.128.128.50

Time /s,Step,Task,Cycle number,Loop 1 number,Loop 2 number,Loop 3 number,Loop 4 number,U /V,I /A,P /W,Q /Ah,Q charge /Ah,Q discharge /Ah,Capacity /Ah,Energy /Wh,Energy charge /Wh,Energy discharge /Wh,Temperature /CelsiusDegrees,I Range /A,Phase,Frequency /Hz,Ua /V,Ia /A,Impedance module /Ohms,Impedance phase /rad,Real impedance /Ohms,- Imaginary impedance /Ohms,Admittance module /Ohms,Admittance phase /rad,Real admittance /Ohms,Imaginary admittance /Ohms,@Var1,@Var2,@Var3,@Var4,@Var5,@Var6,@Var7,@Var8,@Var9,@Var10,Date Time /ns,Duration (step) /s,Umin (step) /V,Umax (step) /V,Umean (step) /V,Ubegin (step) /V,Uend (step) /V,Imin (step) /A,Imax (step) /A,Imean (step) /A,Ibegin (step) /A,Iend (step) /A,Q (step) /Ah,Q charge (step) /Ah,Q discharge (step) /Ah,Energy (step) /Wh,Energy charge (step) /Wh,Energy discharge (step) /Wh,Pmin (step) /W,Pmax (step) /W,Rdc (step) /Ohms,Rac (step) /Ohms,Counter value (loop),Loop ID (loop),List value (loop),Duration (loop) /s,Q (loop) /Ah,Q charge (loop) /Ah,Q discharge (loop) /Ah,Energy (loop) /Wh,Energy charge (loop) /Wh,Energy discharge (loop) /Wh,Duration (cycle) /s,Q (cycle) /Ah,Q charge (cycle) /Ah,Q discharge (cycle) /Ah,Efficiency (cycle) /none,Energy (cycle) /Wh,Energy charge (cycle) /Wh,Energy discharge (cycle) /Wh
0.005,task_1,REST,,,,,,0.37236151099205017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018177.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.005,task_1,REST,,,,,,0.37271958589553833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018207.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.005,task_1,REST,,,,,,0.37310293316841125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018237.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.005,task_1,REST,,,,,,0.37345483899116516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018267.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.005,task_1,REST,,,,,,0.3737420439720154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018297.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.005,task_1,REST,,,,,,0.3740008771419525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018327.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.005,task_1,REST,,,,,,0.37416326999664307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018357.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210.005,task_1,REST,,,,,,0.3743210434913635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018387.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240.005,task_1,REST,,,,,,0.3746304512023926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018417.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270.005,task_1,REST,,,,,,0.3747863471508026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018447.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.005,task_1,REST,,,,,,0.37490469217300415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018477.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330.005,task_1,REST,,,,,,0.3749980628490448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018507.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.005,task_1,REST,,,,,,0.3751573860645294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018537.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390.005,task_1,REST,,,,,,0.37524890899658203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018567.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420.005,task_1,REST,,,,,,0.37531667947769165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018597.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450.005,task_1,REST,,,,,,0.3754870891571045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018627.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480.005,task_1,REST,,,,,,0.37559279799461365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1758018657.0049949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
