mode	error	time/s	<Ewe/V>	
3	0	4.607549883603497E+002	-1.3094832E+000
3	0	4.612549883477186E+002	-1.0724427E+000
3	0	4.617549883350875E+002	-8.4849006E-001
3	0	4.622549883224565E+002	-6.4928615E-001
3	0	4.627549883098254E+002	-4.7669059E-001
3	0	4.632549882971944E+002	-3.2264847E-001
3	0	4.637549882845633E+002	-1.9047339E-001
3	0	4.642549882719322E+002	-7.0799261E-002
3	0	4.647549882593012E+002	4.0181078E-002
3	0	4.652549882466701E+002	1.2966777E-001
3	0	4.657549882340390E+002	1.7860830E-001
3	0	4.662549882214080E+002	2.0087765E-001
3	0	4.667549882087769E+002	2.1301185E-001
3	0	4.672549881961459E+002	2.2093290E-001
3	0	4.677549881835148E+002	2.2669499E-001
3	0	4.682549881708837E+002	2.3118341E-001
3	0	4.687549881582527E+002	2.3485278E-001
3	0	4.692549881456216E+002	2.3794633E-001
3	0	4.697549881329905E+002	2.4061662E-001
3	0	4.702549881203595E+002	2.4296634E-001
3	0	4.707549881077284E+002	2.4506229E-001
3	0	4.712549880950974E+002	2.4696361E-001
3	0	4.717549880824663E+002	2.4869625E-001
3	0	4.722549880698352E+002	2.5028947E-001
3	0	4.727549880572042E+002	2.5176215E-001
3	0	4.732549880445731E+002	2.5314403E-001
3	0	4.737549880319420E+002	2.5444138E-001
3	0	4.742549880193110E+002	2.5565955E-001
3	0	4.747549880066799E+002	2.5681013E-001
3	0	4.752549879940489E+002	2.5790083E-001
3	0	4.757549879814178E+002	2.5894526E-001
3	0	4.762549879687867E+002	2.5994089E-001
3	0	4.767549879561557E+002	2.6088864E-001
3	0	4.772549879435246E+002	2.6179984E-001
3	0	4.777549879308935E+002	2.6268098E-001
3	0	4.782549879182625E+002	2.6352909E-001
3	0	4.787549879056314E+002	2.6434365E-001
3	0	4.792549878930004E+002	2.6513427E-001
3	0	4.797549878803693E+002	2.6590449E-001
3	0	4.802549878677382E+002	2.6664400E-001
3	0	4.807549878551072E+002	2.6737162E-001
3	0	4.812549878424761E+002	2.6806608E-001
3	0	4.817549878298450E+002	2.6875106E-001
3	0	4.822549878172140E+002	2.6941508E-001
3	0	4.827549878045829E+002	2.7006158E-001
3	0	4.832549877919519E+002	2.7068898E-001
3	0	4.837549877793208E+002	2.7131107E-001
3	0	4.842549877666897E+002	2.7191603E-001
3	0	4.847549877540587E+002	2.7250218E-001
3	0	4.852549877414276E+002	2.7308345E-001
3	0	4.857549877287966E+002	2.7365127E-001
3	0	4.862549877161655E+002	2.7420914E-001
3	0	4.867549877035344E+002	2.7475896E-001
3	0	4.872549876909034E+002	2.7529219E-001
3	0	4.877549876782723E+002	2.7581930E-001
3	0	4.882549876656412E+002	2.7633864E-001
3	0	4.887549876530102E+002	2.7684975E-001
3	0	4.892549876403791E+002	2.7734986E-001
3	0	4.897549876277481E+002	2.7784550E-001
3	0	4.902549876151170E+002	2.7832603E-001
3	0	4.907549876024859E+002	2.7880207E-001
3	0	4.912549875898549E+002	2.7927086E-001
3	0	4.917549875772238E+002	2.7973241E-001
3	0	4.922549875645927E+002	2.8018636E-001
3	0	4.927549875519617E+002	2.8063238E-001
3	0	4.932549875393306E+002	2.8107548E-001
3	0	4.937549875266996E+002	2.8151500E-001
3	0	4.942549875140685E+002	2.8195029E-001
3	0	4.947549875014374E+002	2.8238180E-001
3	0	4.952549874888064E+002	2.8280357E-001
3	0	4.957549874761753E+002	2.8321832E-001
3	0	4.962549874635442E+002	2.8363171E-001
3	0	4.967549874509132E+002	2.8403559E-001
3	0	4.972549874382821E+002	2.8443789E-001
3	0	4.977549874256511E+002	2.8483137E-001
3	0	4.982549874130200E+002	2.8522751E-001
3	0	4.987549874003889E+002	2.8561410E-001
3	0	4.992549873877579E+002	2.8599367E-001
3	0	4.997549873751268E+002	2.8637961E-001
3	0	5.002549873624957E+002	2.8675470E-001
3	0	5.007549873498647E+002	2.8712219E-001
3	0	5.012549873372336E+002	2.8749365E-001
3	0	5.017549873246026E+002	2.8785270E-001
3	0	5.022549873119715E+002	2.8821585E-001
3	0	5.027549872993404E+002	2.8857768E-001
3	0	5.032549872867094E+002	2.8892687E-001
3	0	5.037549872740783E+002	2.8927740E-001
3	0	5.042549872614472E+002	2.8961861E-001
3	0	5.047549872488162E+002	2.8996313E-001
3	0	5.052549872361851E+002	2.9029918E-001
3	0	5.057549872235541E+002	2.9063296E-001
3	0	5.062549872109230E+002	2.9096982E-001
3	0	5.067549871982919E+002	2.9130131E-001
3	0	5.072549871856609E+002	2.9162809E-001
3	0	5.077549871730298E+002	2.9194635E-001
3	0	5.082549871603987E+002	2.9227164E-001
3	0	5.087549871477677E+002	2.9259032E-001
3	0	5.092549871351366E+002	2.9290643E-001
3	0	5.097549871225056E+002	2.9321706E-001
3	0	5.102549871098745E+002	2.9353327E-001
3	0	5.107549870972434E+002	2.9384151E-001
3	0	5.112549870846124E+002	2.9414627E-001
3	0	5.117549870719813E+002	2.9444915E-001
3	0	5.122549870593502E+002	2.9475307E-001
3	0	5.127549870467192E+002	2.9504994E-001
3	0	5.132549870340881E+002	2.9534307E-001
3	0	5.137549870214571E+002	2.9563954E-001
3	0	5.142549870088260E+002	2.9593685E-001
3	0	5.147549869961949E+002	2.9622501E-001
3	0	5.152549869835639E+002	2.9651198E-001
3	0	5.157549869709328E+002	2.9679152E-001
3	0	5.162549869583017E+002	2.9707891E-001
3	0	5.167549869456707E+002	2.9736108E-001
3	0	5.172549869330396E+002	2.9763484E-001
3	0	5.177549869204086E+002	2.9790962E-001
3	0	5.182549869077775E+002	2.9818523E-001
3	0	5.187549868951464E+002	2.9846078E-001
3	0	5.192549868825154E+002	2.9872546E-001
3	0	5.197549868698843E+002	2.9899362E-001
3	0	5.202549868572532E+002	2.9926050E-001
3	0	5.207549868446222E+002	2.9952437E-001
3	0	5.212549868319911E+002	2.9978085E-001
3	0	5.217549868193601E+002	3.0003488E-001
3	0	5.222549868067290E+002	3.0029443E-001
3	0	5.227549867940979E+002	3.0055177E-001
3	0	5.232549867814669E+002	3.0081266E-001
3	0	5.237549867688358E+002	3.0106434E-001
3	0	5.242549867562047E+002	3.0131665E-001
3	0	5.247549867435737E+002	3.0155858E-001
3	0	5.252549867309426E+002	3.0180955E-001
3	0	5.257549867183116E+002	3.0206046E-001
3	0	5.262549867056805E+002	3.0230629E-001
3	0	5.267549866930494E+002	3.0254605E-001
3	0	5.272549866804184E+002	3.0278960E-001
3	0	5.277549866677873E+002	3.0302554E-001
3	0	5.282549866551562E+002	3.0326584E-001
3	0	5.287549866425252E+002	3.0350190E-001
3	0	5.292549866298941E+002	3.0373192E-001
3	0	5.297549866172631E+002	3.0395856E-001
3	0	5.302549866046320E+002	3.0418679E-001
3	0	5.307549865920009E+002	3.0442259E-001
3	0	5.312549865793699E+002	3.0464908E-001
3	0	5.317549865667388E+002	3.0487567E-001
3	0	5.322549865541077E+002	3.0510855E-001
3	0	5.327549865414767E+002	3.0532444E-001
3	0	5.332549865288456E+002	3.0554864E-001
3	0	5.337549865162146E+002	3.0577037E-001
3	0	5.342549865035835E+002	3.0598864E-001
3	0	5.347549864909524E+002	3.0621186E-001
3	0	5.352549864783214E+002	3.0642790E-001
3	0	5.357549864656903E+002	3.0663851E-001
