mode	ox/red	error	control changes	counter inc.	time/s	control/V	Ewe/V	<I>/mA	cycle number	(Q-Qo)/C	I Range	step time/s	Pwe/W	Rwe/Ohm	
2	1	0	0	0	0.000000000000000E+000	4.4718510E-001	4.4717619E-001	1.576822542119771E-004	1.000000000000000E+000	0.0000000E+000	14	0.000000000000000E+000	7.0511753E-008	2.8359323E+006
2	1	0	1	0	1.099999972211663E-003	4.4773513E-001	4.4743791E-001	5.206122829501210E-004	1.000000000000000E+000	5.2925686E-010	14	0.000000000000000E+000	2.3294167E-007	8.5944556E+005
2	1	0	1	0	3.099999921687413E-003	4.4873554E-001	4.4852975E-001	5.697259811465009E-004	1.000000000000000E+000	1.6663853E-009	14	1.999999949475750E-003	2.5553905E-007	7.8727275E+005
2	1	0	1	0	5.099999871163163E-003	4.4973594E-001	4.4952619E-001	7.113636658889130E-004	1.000000000000000E+000	2.9615022E-009	14	3.999999898951501E-003	3.1977660E-007	6.3192175E+005
2	1	0	1	0	7.099999820638914E-003	4.5073625E-001	4.5052162E-001	7.800924466386666E-004	1.000000000000000E+000	4.4486552E-009	14	5.999999848427251E-003	3.5144851E-007	5.7752338E+005
2	1	0	1	0	9.099999770114664E-003	4.5173666E-001	4.5151168E-001	8.143755444507388E-004	1.000000000000000E+000	6.0473524E-009	14	7.999999797903001E-003	3.6770007E-007	5.5442688E+005
2	1	0	1	0	1.109999971959041E-002	4.5273706E-001	4.5256537E-001	8.825283018975656E-004	1.000000000000000E+000	7.7558830E-009	14	9.999999747378752E-003	3.9940176E-007	5.1280550E+005
2	1	0	1	0	1.309999966906616E-002	4.5373741E-001	4.5354703E-001	9.410378212730101E-004	1.000000000000000E+000	9.5779287E-009	14	1.199999969685450E-002	4.2680492E-007	4.8196472E+005
2	1	0	1	0	1.509999961854192E-002	4.5473781E-001	4.5456889E-001	9.671936129886198E-004	1.000000000000000E+000	1.1496406E-008	14	1.399999964633025E-002	4.3965613E-007	4.6998747E+005
2	1	0	1	0	1.709999956801767E-002	4.5573819E-001	4.5557919E-001	1.027423907089544E-003	1.000000000000000E+000	1.3501221E-008	14	1.599999959580600E-002	4.6807295E-007	4.4341891E+005
2	1	0	1	0	1.909999951749342E-002	4.5673859E-001	4.5654270E-001	1.079057068813605E-003	1.000000000000000E+000	1.5602296E-008	14	1.799999954528175E-002	4.9263565E-007	4.2309413E+005
2	1	0	1	0	2.109999946696917E-002	4.5773891E-001	4.5752862E-001	1.093986674820576E-003	1.000000000000000E+000	1.7778712E-008	14	1.999999949475750E-002	5.0053023E-007	4.1822138E+005
2	1	0	1	0	2.309999941644492E-002	4.5873931E-001	4.5854518E-001	1.133513568510755E-003	1.000000000000000E+000	2.0018103E-008	14	2.199999944423325E-002	5.1976718E-007	4.0453434E+005
2	1	0	1	0	2.509999936592067E-002	4.5973969E-001	4.5951724E-001	1.185072440800164E-003	1.000000000000000E+000	2.2330022E-008	14	2.399999939370900E-002	5.4456120E-007	3.8775456E+005
2	1	0	1	0	2.709999931539642E-002	4.6074006E-001	4.6050945E-001	1.165842559721058E-003	1.000000000000000E+000	2.4692348E-008	14	2.599999934318475E-002	5.3688149E-007	3.9500141E+005
