freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	Pwe/W	Rwe/Ohm	
1.0000371E+005	7.2816329E+000	2.7303457E+000	7.7766938E+000	-2.0554207E+001	3.163449376917561E+001	2.9164749E-001	5.6780013E-003	5.8288968E-001	7.1850806E-002	1.000000000000000E+000	10	9.1136638E-003	1.1719201E-003	0	-5.613499860276029E-005	1.2040341E-001	4.5146871E-002	1.2858935E-001	2.0554207E+001	7.1850815E+001	1.9162086E+002	2.0464871E+002	-6.9445793E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.9445793E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.9445793E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.0554207E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.0554207E+001	2.6669271E+000	6.9445793E+001	-5.613499860276029E-005	1.6559749E-006	5.1364465E+004
6.8289789E+004	7.3823152E+000	4.0175853E+000	8.4047346E+000	-2.8555807E+001	3.207148914996651E+001	2.9164189E-001	5.7059224E-003	5.8009517E-001	1.3255052E-001	1.000000000000000E+000	10	1.0511773E-002	1.2506966E-003	0	-5.556398511532461E-005	1.0450681E-001	5.6874432E-002	1.1898056E-001	2.8555807E+001	1.3255052E+002	2.4356165E+002	2.7729391E+002	-6.1444191E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.1444191E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.1444191E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.8555807E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.8555807E+001	1.8375006E+000	6.1444191E+001	5.710134874356744E-007	1.6640860E-006	5.1112137E+004
4.6633758E+004	7.5371575E+000	5.8224092E+000	9.5241375E+000	-3.7685871E+001	3.250847610403434E+001	2.9164657E-001	5.9404327E-003	5.8616114E-001	2.1906407E-001	1.000000000000000E+000	10	1.0813406E-002	1.1353685E-003	0	-5.459819118882458E-005	8.3091438E-002	6.4187638E-002	1.0499638E-001	3.7685871E+001	2.1906406E+002	2.8358026E+002	3.5833899E+002	-5.2314129E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.2314129E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.2314129E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.7685871E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.7685871E+001	1.2945083E+000	5.2314133E+001	9.657939265000310E-007	1.7325068E-006	4.9095172E+004
3.1843822E+004	7.7745762E+000	8.4185886E+000	1.1459349E+001	-4.7277489E+001	3.294548791149282E+001	2.9164630E-001	5.5235177E-003	5.9368438E-001	3.2041612E-001	1.000000000000000E+000	10	1.0921150E-002	9.5303409E-004	0	-5.226385038692711E-005	5.9204791E-002	6.4109057E-002	8.7264992E-002	4.7277489E+001	3.2041611E+002	2.9590466E+002	4.3614911E+002	-4.2722511E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.2722511E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.2722511E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.7277489E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.7277489E+001	9.2350113E-001	4.2722504E+001	2.334340801897467E-006	1.6109135E-006	5.2800828E+004
2.1748811E+004	8.1779556E+000	1.2132571E+001	1.4631413E+001	-5.6018074E+001	3.338347790561966E+001	2.9164070E-001	5.1400959E-003	6.0315889E-001	4.1472951E-001	1.000000000000000E+000	10	1.0592101E-002	7.2392880E-004	0	-5.115690457500103E-005	3.8200777E-002	5.6673538E-002	6.8346098E-002	5.6018074E+001	4.1472952E+002	2.7954828E+002	5.0014780E+002	-3.3981926E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.3981926E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.3981926E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.6018074E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.6018074E+001	6.7404968E-001	3.3981934E+001	1.106945811926079E-006	1.4990612E-006	5.6738375E+004
1.4845605E+004	8.8392429E+000	1.7453028E+001	1.9563751E+001	-6.3139656E+001	3.367949375967146E+001	2.9164243E-001	4.9707191E-003	6.1425889E-001	4.8886478E-001	1.000000000000000E+000	10	1.0940143E-002	5.5920478E-004	0	-5.104353346768767E-005	2.3094619E-002	4.5600176E-002	5.1114943E-002	6.3139656E+001	4.8886478E+002	2.4758995E+002	5.4798682E+002	-2.6860344E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.6860344E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.6860344E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.3139656E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.3139656E+001	5.0645900E-001	2.6860352E+001	1.133711073133674E-007	1.4496726E-006	5.8672078E+004
1.0141406E+004	9.9631634E+000	2.4980162E+001	2.6893738E+001	-6.8255760E+001	3.397548236037255E+001	2.9164422E-001	5.0861104E-003	6.2824160E-001	5.4201943E-001	1.000000000000000E+000	10	1.0225674E-002	3.8022510E-004	0	-5.086512232112323E-005	1.3775105E-002	3.4537662E-002	3.7183378E-002	6.8255760E+001	5.4201947E+002	2.1618068E+002	5.8354022E+002	-2.1744240E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.1744240E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.1744240E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.8255760E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.8255760E+001	3.9884302E-001	2.1744232E+001	1.784111465644368E-007	1.4833347E-006	5.7341305E+004
6.9219561E+003	1.1777107E+001	3.5793468E+001	3.7681198E+001	-7.1787270E+001	3.434794219143805E+001	2.9165319E-001	1.1477550E-002	6.4237332E-001	5.7962304E-001	1.000000000000000E+000	10	9.7117703E-003	2.5773517E-004	0	-4.965694693469363E-005	8.2944809E-003	2.5208928E-002	2.6538434E-002	7.1787270E+001	5.7962305E+002	1.9071309E+002	6.1019208E+002	-1.8212730E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.8212730E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.8212730E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.1787270E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.1787270E+001	3.2902950E-001	1.8212738E+001	1.208175386429602E-006	3.3474641E-006	2.5410752E+004
4.7265127E+003	1.5167641E+001	5.1014950E+001	5.3222012E+001	-7.3441864E+001	3.507370227926731E+001	2.9167077E-001	-3.3364350E-003	6.6005760E-001	6.0644889E-001	1.000000000000000E+000	11	1.0828209E-002	2.0345359E-004	0	-4.916424565897796E-005	5.3547034E-003	1.8010050E-002	1.8789219E-002	7.3441864E+001	6.0644891E+002	1.8030789E+002	6.3268573E+002	-1.6558136E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.6558136E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.6558136E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.3441864E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.3441864E+001	2.9731756E-001	1.6558136E+001	4.927012757156675E-007	-9.7314057E-007	8.7419891E+004
3.2310337E+003	2.1213747E+001	7.2235390E+001	7.5285950E+001	-7.3633789E+001	3.553971462140180E+001	2.9166383E-001	-3.3163163E-003	6.8191242E-001	6.2777036E-001	1.000000000000000E+000	11	9.9269543E-003	1.3185666E-004	0	-4.946385922928231E-005	3.7427391E-003	1.2744481E-002	1.3282691E-002	7.3633789E+001	6.2777032E+002	1.8436064E+002	6.5428162E+002	-1.6366211E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.6366211E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.6366211E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.3633789E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.3633789E+001	2.9367527E-001	1.6366211E+001	-2.996135703043444E-007	-9.6724955E-007	8.7948133E+004
