freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	Pwe/W	Rwe/Ohm	
1.0000371E+005	6.7456436E+000	2.2728488E+000	7.1182547E+000	-1.8620512E+001	5.166888244231814E+001	2.9166427E-001	-5.7676200E-002	7.0021826E-001	7.1388379E-002	1.000000000000000E+000	10	9.0702670E-003	1.2742262E-003	0	-2.385510509951402E-005	1.3313012E-001	4.4856302E-002	1.4048387E-001	1.8620512E+001	7.1388374E+001	2.1187531E+002	2.2357872E+002	-7.1379486E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.1379486E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.1379486E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.8620512E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.8620512E+001	2.9679244E+000	7.1379486E+001	-2.385510509951402E-005	-1.6822087E-005	5.0569258E+003
6.8261953E+004	6.8281999E+000	3.3785663E+000	7.6183348E+000	-2.6326023E+001	5.210587467640289E+001	2.9166019E-001	-5.7449128E-002	6.9009519E-001	1.3572310E-001	1.000000000000000E+000	10	1.0505061E-002	1.3789182E-003	0	-3.178882106534568E-005	1.1764843E-001	5.8211979E-002	1.3126229E-001	2.6326023E+001	1.3572310E+002	2.7430109E+002	3.0604224E+002	-6.3673977E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.3673977E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.3673977E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.6326023E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.6326023E+001	2.0210347E+000	6.3673981E+001	-7.933715965831655E-006	-1.6755625E-005	5.0768428E+003
4.6596645E+004	6.9659286E+000	4.9317832E+000	8.5350246E+000	-3.5297977E+001	5.254389299053582E+001	2.9165748E-001	-5.7836264E-002	6.9256657E-001	2.3123838E-001	1.000000000000000E+000	10	1.0807862E-002	1.2662953E-003	0	-3.778861571281676E-005	9.5624559E-002	6.7700893E-002	1.1716428E-001	3.5297977E+001	2.3123837E+002	3.2661411E+002	4.0018491E+002	-5.4702023E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.4702023E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.4702023E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.5297977E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.5297977E+001	1.4124564E+000	5.4702026E+001	-5.999794647471084E-006	-1.6868378E-005	5.0428130E+003
3.1806711E+004	7.1924281E+000	7.1416101E+000	1.0135759E+001	-4.4796871E+001	5.298089271798381E+001	2.9165861E-001	-5.7564534E-002	7.0065665E-001	3.4784433E-001	1.000000000000000E+000	10	1.0848169E-002	1.0702867E-003	0	-4.519284549034718E-005	7.0010461E-002	6.9515802E-002	9.8660588E-002	4.4796871E+001	3.4784433E+002	3.5031949E+002	4.9367947E+002	-4.5203129E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.5203129E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.5203129E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.4796871E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.4796871E+001	1.0071157E+000	4.5203125E+001	-7.404229777530416E-006	-1.6789192E-005	5.0666372E+003
2.1711699E+004	7.5675421E+000	1.0322225E+001	1.2799063E+001	-5.3753704E+001	5.341787577871582E+001	2.9167199E-001	-5.7741355E-002	7.1015483E-001	4.6189505E-001	1.000000000000000E+000	10	1.0678494E-002	8.3431846E-004	0	-5.370749916468210E-005	4.6195377E-002	6.3011087E-002	7.8130722E-002	5.3753704E+001	4.6189499E+002	3.3862949E+002	5.7272760E+002	-3.6246296E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.6246296E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.6246296E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.3753704E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.3753704E+001	7.3313093E-001	3.6246292E+001	-8.514653674334923E-006	-1.6841535E-005	5.0513535E+003
1.4817771E+004	8.1992550E+000	1.4848479E+001	1.6961872E+001	-6.1092743E+001	5.385488070614520E+001	2.9167131E-001	-5.7475209E-002	7.2336131E-001	5.5433422E-001	1.000000000000000E+000	10	1.0188896E-002	6.0069410E-004	0	-5.968489515250419E-005	2.8498815E-002	5.1610064E-002	5.8955755E-002	6.1092743E+001	5.5433417E+002	3.0610052E+002	6.3323291E+002	-2.8907257E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.8907257E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.8907257E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.1092743E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.1092743E+001	5.5219495E-001	2.8907257E+001	-5.977395987822089E-006	-1.6763870E-005	5.0747324E+003
1.0113567E+004	9.3297901E+000	2.1300369E+001	2.3254047E+001	-6.6346069E+001	5.415087482691160E+001	2.9166374E-001	-5.8608696E-002	7.3880297E-001	6.1987740E-001	1.000000000000000E+000	10	9.5249619E-003	4.0960449E-004	0	-6.389699242354901E-005	1.7253401E-002	3.9390367E-002	4.3003265E-002	6.6346069E+001	6.1987744E+002	2.7151291E+002	6.7673279E+002	-2.3653931E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.3653931E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.3653931E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.6346069E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.6346069E+001	4.3801072E-001	2.3653931E+001	-4.212097271044815E-006	-1.7094031E-005	4.9764585E+003
6.9048516E+003	1.1290890E+001	3.0433884E+001	3.2460831E+001	-6.9645279E+001	5.469886055958341E+001	2.9166433E-001	-5.2498303E-002	7.5737053E-001	6.6573888E-001	1.000000000000000E+000	10	9.9346722E-003	3.0605108E-004	0	-7.161631040620906E-005	1.0715414E-002	2.8882723E-002	3.0806359E-002	6.9645279E+001	6.6573889E+002	2.4698737E+002	7.1007819E+002	-2.0354721E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.0354721E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.0354721E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.9645279E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.9645279E+001	3.7099734E-001	2.0354721E+001	-7.719317982660058E-006	-1.5311882E-005	5.5556904E+003
4.7165098E+003	1.4818528E+001	4.3257927E+001	4.5725670E+001	-7.1090477E+001	5.564709812467481E+001	2.9169548E-001	-6.7867078E-002	7.8007019E-001	6.9814390E-001	1.000000000000000E+000	11	1.0034698E-002	2.1945438E-004	0	-8.776839637799194E-005	7.0873681E-003	2.0689286E-002	2.1869553E-002	7.1090477E+001	6.9814386E+002	2.3915773E+002	7.3797107E+002	-1.8909523E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.8909523E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.8909523E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.1090477E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.1090477E+001	3.4256214E-001	1.8909515E+001	-1.615208597178288E-005	-1.9796520E-005	4.2980410E+003
3.2169119E+003	2.1378550E+001	6.0906345E+001	6.4549400E+001	-7.0658577E+001	5.611435766684008E+001	2.9168808E-001	-6.7656554E-002	8.1230366E-001	7.2320110E-001	1.000000000000000E+000	11	9.0762582E-003	1.4060948E-004	0	-9.641283839164679E-005	5.1309019E-003	1.4617669E-002	1.5492011E-002	7.0658577E+001	7.2320111E+002	2.5384854E+002	7.6645868E+002	-1.9341423E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.9341423E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.9341423E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.0658577E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.0658577E+001	3.5100693E-001	1.9341431E+001	-8.644442013654852E-006	-1.9734611E-005	4.3113057E+003
