mode	ox/red	error	control changes		time/s	control/V	Ewe/V	<I>/mA		(Q-Qo)/C	I Range		Pwe/W	Rwe/Ohm	
3	0	0	1	0	0.000000000000000E+000	0.0000000E+000	4.4747740E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
3	0	0	0	0	2.999979924214131E+001	9.0028149E-001	4.4749647E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
2	1	0	1	0	3.003059924136323E+001	8.9889687E-001	8.9887768E-001	9.968810404340417E-003	0	7.2127381E-007	13	0	8.9607411E-006	9.0169000E+004
2	1	0	1	0	3.006449924050685E+001	8.9720500E-001	8.9717579E-001	6.561380278645182E-003	0	9.5552775E-007	13	0	5.8867117E-006	1.3673583E+005
2	1	0	1	0	3.012609923895070E+001	8.9412487E-001	8.9407754E-001	4.334085152296521E-003	0	1.2806598E-006	13	0	3.8750081E-006	2.0628980E+005
2	1	0	1	0	3.018769923739455E+001	8.9104491E-001	8.9098960E-001	3.489308780698855E-003	0	1.5163033E-006	13	0	3.1089378E-006	2.5534845E+005
2	1	0	1	0	3.026449923545442E+001	8.8720447E-001	8.8718247E-001	2.920314512468075E-003	0	1.7550918E-006	13	0	2.5908519E-006	3.0379691E+005
2	1	0	1	0	3.034149923350924E+001	8.8335490E-001	8.8337088E-001	2.516136399015587E-003	0	1.9655447E-006	14	0	2.2226816E-006	3.5108228E+005
2	1	0	1	0	3.040309923195309E+001	8.8027483E-001	8.8022268E-001	2.307684732749060E-003	0	2.1127537E-006	14	0	2.0312764E-006	3.8143109E+005
2	1	0	1	0	3.046469923039695E+001	8.7719488E-001	8.7715328E-001	2.145517797819258E-003	0	2.2485767E-006	14	0	1.8819479E-006	4.0883056E+005
2	1	0	1	0	3.052609922884585E+001	8.7412483E-001	8.7412429E-001	2.007526771803807E-003	0	2.3747373E-006	14	0	1.7548280E-006	4.3542347E+005
2	1	0	1	0	3.058769922728970E+001	8.7104481E-001	8.7099159E-001	1.896647980918857E-003	0	2.4938533E-006	14	0	1.6519645E-006	4.5922681E+005
2	1	0	1	0	3.064929922573356E+001	8.6796486E-001	8.6795866E-001	1.798628747081844E-003	0	2.6065704E-006	14	0	1.5611354E-006	4.8256688E+005
2	1	0	1	0	3.071089922417741E+001	8.6488485E-001	8.6482197E-001	1.712097422261116E-003	0	2.7136248E-006	14	0	1.4806594E-006	5.0512428E+005
