freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	Pwe/W	Rwe/Ohm	
1.0000371E+005	6.7246604E+000	2.2856376E+000	7.1024780E+000	-1.8772329E+001	5.166889340235502E+001	2.9166022E-001	-6.1562434E-002	6.9630033E-001	7.2109349E-002	1.000000000000000E+000	10	9.0270601E-003	1.2709734E-003	0	-2.409780962381693E-005	1.3330626E-001	4.5309324E-002	1.4079593E-001	1.8772329E+001	7.2109367E+001	2.1215564E+002	2.2407538E+002	-7.1227669E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.1227669E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.1227669E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.8772329E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.8772329E+001	2.9421377E+000	7.1227669E+001	-2.409780962381693E-005	-1.7955314E-005	4.7376328E+003
6.8261953E+004	6.8156223E+000	3.4041557E+000	7.6184635E+000	-2.6540462E+001	5.210689155649743E+001	2.9165387E-001	-6.1491709E-002	6.8490762E-001	1.3674645E-001	1.000000000000000E+000	10	1.0517961E-002	1.3805883E-003	0	-2.953006771294814E-005	1.1742775E-001	5.8650896E-002	1.3126007E-001	2.6540462E+001	1.3674646E+002	2.7378659E+002	3.0603708E+002	-6.3459538E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.3459538E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.3459538E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.6540462E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.6540462E+001	2.0021477E+000	6.3459534E+001	-5.432258089131211E-006	-1.7934295E-005	4.7429790E+003
4.6596645E+004	6.9502854E+000	4.9665670E+000	8.5424385E+000	-3.5549019E+001	5.254389275054564E+001	2.9164088E-001	-6.2332984E-002	6.8771613E-001	2.3246527E-001	1.000000000000000E+000	10	1.0785249E-002	1.2625492E-003	0	-3.506866695532679E-005	9.5244281E-002	6.8060100E-002	1.1706259E-001	3.5549019E+001	2.3246527E+002	3.2531522E+002	3.9983759E+002	-5.4450981E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.4450981E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.4450981E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.5549019E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.5549019E+001	1.3994144E+000	5.4450981E+001	-5.538599242378646E-006	-1.8178845E-005	4.6787568E+003
3.1806711E+004	7.1640749E+000	7.1992030E+000	1.0156402E+001	-4.5140125E+001	5.298188781135832E+001	2.9165286E-001	-6.2158033E-002	6.9505143E-001	3.4922561E-001	1.000000000000000E+000	10	1.0895893E-002	1.0728104E-003	0	-4.294463987636846E-005	6.9451302E-002	6.9791846E-002	9.8460071E-002	4.5140125E+001	3.4922559E+002	3.4752158E+002	4.9267612E+002	-4.4859875E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.4859875E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.4859875E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-4.5140125E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	4.5140125E+001	9.9512053E-001	4.4859879E+001	-7.875972921041672E-006	-1.8128569E-005	4.6921187E+003
2.1711699E+004	7.5316057E+000	1.0399931E+001	1.2840703E+001	-5.4088032E+001	5.341989375217236E+001	2.9165033E-001	-6.1502885E-002	7.0484865E-001	4.6235886E-001	1.000000000000000E+000	10	1.0729931E-002	8.3561870E-004	0	-4.824566865177217E-005	4.5678306E-002	6.3074365E-002	7.7877358E-002	5.4088032E+001	4.6235883E+002	3.3483917E+002	5.7087036E+002	-3.5911968E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	3.5911968E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-3.5911968E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-5.4088032E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.4088032E+001	7.2419769E-001	3.5911972E+001	-5.301028775403713E-006	-1.7937336E-005	4.7420591E+003
1.4817771E+004	8.1759768E+000	1.4975963E+001	1.7062416E+001	-6.1368111E+001	5.385688414625474E+001	2.9165307E-001	-6.1167877E-002	7.1720368E-001	5.5252379E-001	1.000000000000000E+000	10	1.0197613E-002	5.9766526E-004	0	-5.483702495782119E-005	2.8083973E-002	5.1441506E-002	5.8608346E-002	6.1368111E+001	5.5252374E+002	3.0164481E+002	6.2950146E+002	-2.8631889E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.8631889E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.8631889E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.1368111E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.1368111E+001	5.4593998E-001	2.8631897E+001	-6.591356306049015E-006	-1.7839799E-005	4.7680757E+003
1.0113567E+004	9.3401270E+000	2.1497065E+001	2.3438467E+001	-6.6515831E+001	5.415287706701201E+001	2.9166058E-001	-6.1904926E-002	7.3204297E-001	6.1579549E-001	1.000000000000000E+000	10	9.5256614E-003	4.0641145E-004	0	-5.970754625723283E-005	1.7001782E-002	3.9130982E-002	4.2664908E-002	6.6515831E+001	6.1579547E+002	2.6755322E+002	6.7140808E+002	-2.3484169E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.3484169E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.3484169E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.6515831E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.6515831E+001	4.3448383E-001	2.3484161E+001	-4.870521299411643E-006	-1.8055227E-005	4.7114277E+003
6.9048516E+003	1.1283308E+001	3.0728777E+001	3.2734856E+001	-6.9837257E+001	5.470185015970492E+001	2.9165393E-001	-5.6060683E-002	7.5010234E-001	6.6098285E-001	1.000000000000000E+000	10	9.7979251E-003	2.9931168E-004	0	-6.844744039665076E-005	1.0529689E-002	2.8676387E-002	3.0548478E-002	6.9837257E+001	6.6098285E+002	2.4270645E+002	7.0413403E+002	-2.0162743E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	2.0162743E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-2.0162743E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-6.9837257E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	6.9837257E+001	3.6719027E-001	2.0162750E+001	-8.739894139417935E-006	-1.6350319E-005	5.2024683E+003
4.7165098E+003	1.4896703E+001	4.3654583E+001	4.6126286E+001	-7.1158287E+001	5.565007281814906E+001	2.9167622E-001	-7.2201498E-002	7.7298230E-001	6.9236046E-001	1.000000000000000E+000	11	1.0177653E-002	2.2064758E-004	0	-8.547976728659705E-005	7.0015346E-003	2.0517897E-002	2.1679612E-002	7.1158287E+001	6.9236041E+002	2.3626132E+002	7.3156158E+002	-1.8841713E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.8841713E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.8841713E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.1158287E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.1158287E+001	3.4124029E-001	1.8841705E+001	-1.703232688994629E-005	-2.1059461E-005	4.0397532E+003
3.2169119E+003	2.1495005E+001	6.1482800E+001	6.5131943E+001	-7.0729858E+001	5.611736254699645E+001	2.9167253E-001	-7.2125860E-002	8.0468762E-001	7.1704519E-001	1.000000000000000E+000	11	9.2092082E-003	1.4139312E-004	0	-9.475325897539410E-005	5.0669839E-003	1.4493243E-002	1.5353450E-002	7.0729858E+001	7.1704523E+002	2.5068623E+002	7.5960345E+002	-1.9270142E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.9270142E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.9270142E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	-7.0729858E+001	0.0000000E+000	0.0000000E+000	0.0000000E+000	7.0729858E+001	3.4961006E-001	1.9270142E+001	-9.273491688797049E-006	-2.1037133E-005	4.0439382E+003
