mode	ox/red	error	control changes		time/s	control/V	Ewe/V	<I>/mA		(Q-Qo)/C	I Range		Pwe/W	Rwe/Ohm	
3	0	0	1	0	0.000000000000000E+000	0.0000000E+000	4.4925192E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
3	0	0	0	0	2.999979924214131E+001	9.0028149E-001	4.4944274E-001	0.000000000000000E+000	0	0.0000000E+000	14	0	0.0000000E+000	0.0000000E+000
2	1	0	1	0	3.003059924136323E+001	8.9889687E-001	8.9891583E-001	2.392159340282279E-002	0	7.3228370E-007	13	0	2.1503500E-005	3.7577590E+004
2	1	0	1	0	3.006449924050685E+001	8.9720500E-001	8.9718795E-001	1.544695207020408E-002	0	1.2870444E-006	13	0	1.3858819E-005	5.8081875E+004
2	1	0	1	0	3.012609923895070E+001	8.9412487E-001	8.9408576E-001	9.671767160696072E-003	0	2.0375594E-006	13	0	8.6473892E-006	9.2442852E+004
2	1	0	1	0	3.018769923739455E+001	8.9104491E-001	8.9099318E-001	7.379251460973478E-003	0	2.5524942E-006	13	0	6.5748627E-006	1.2074303E+005
2	1	0	1	0	3.024909923584346E+001	8.8797492E-001	8.8793671E-001	6.076598348473572E-003	0	2.9583625E-006	13	0	5.3956346E-006	1.4612397E+005
2	1	0	1	0	3.031069923428731E+001	8.8489485E-001	8.8486660E-001	5.193049919904651E-003	0	3.2996029E-006	13	0	4.5951565E-006	1.7039439E+005
2	1	0	1	0	3.037229923273117E+001	8.8181490E-001	8.8182092E-001	4.555731792753787E-003	0	3.5946587E-006	13	0	4.0173395E-006	1.9356295E+005
2	1	0	1	0	3.044929923078598E+001	8.7796563E-001	8.7798852E-001	3.931549532538020E-003	0	3.9145793E-006	13	0	3.4518553E-006	2.2331870E+005
2	1	0	1	0	3.052609922884585E+001	8.7412483E-001	8.7409133E-001	3.459192608991152E-003	0	4.2004385E-006	14	0	3.0236502E-006	2.5268652E+005
2	1	0	1	0	3.058769922728970E+001	8.7104481E-001	8.7098736E-001	3.159661986185671E-003	0	4.4016033E-006	14	0	2.7520257E-006	2.7565841E+005
2	1	0	1	0	3.064929922573356E+001	8.6796486E-001	8.6792296E-001	2.905951772606812E-003	0	4.5858624E-006	14	0	2.5221423E-006	2.9867081E+005
2	1	0	1	0	3.071089922417741E+001	8.6488485E-001	8.6481661E-001	2.686359035144380E-003	0	4.7557310E-006	14	0	2.3232078E-006	3.2192891E+005
2	1	0	1	0	3.077249922262126E+001	8.6180478E-001	8.6167526E-001	2.492563468760457E-003	0	4.9130649E-006	14	0	2.1477804E-006	3.4569844E+005
2	1	0	1	0	3.083389922107017E+001	8.5873485E-001	8.5865170E-001	2.325335183621637E-003	0	5.0589169E-006	14	0	1.9966531E-006	3.6925931E+005
2	1	0	1	0	3.089549921951402E+001	8.5565490E-001	8.5551387E-001	2.174797405438245E-003	0	5.1956767E-006	14	0	1.8605693E-006	3.9337634E+005
2	1	0	1	0	3.095709921795788E+001	8.5257477E-001	8.5250378E-001	2.039287967791716E-003	0	5.3236304E-006	14	0	1.7385007E-006	4.1803991E+005
2	1	0	1	0	3.101869921640173E+001	8.4949481E-001	8.4939170E-001	1.917504887436902E-003	0	5.4437664E-006	14	0	1.6287128E-006	4.4296716E+005
2	1	0	1	0	3.108009921485063E+001	8.4642476E-001	8.4641957E-001	1.808552982397028E-003	0	5.5564296E-006	14	0	1.5307946E-006	4.6800928E+005
2	1	0	1	0	3.114169921329449E+001	8.4334481E-001	8.4328175E-001	1.706997028920583E-003	0	5.6631120E-006	14	0	1.4394794E-006	4.9401478E+005
