E_V,inv_sqrt_omega_s05,inv_j_cm2_A_inv
-0.050822175,0.1950512915024859,-1852.0136369834404
-0.050822175,0.13819765978853418,-1320.148686892704
-0.050822175,0.09772050238058397,-938.1116013697987
-0.050822175,0.07976187321895228,-766.9309108600031
-0.050822175,0.06909882989426709,-666.3682890019713
-0.050822175,0.06180387232371033,-597.8725661320085
0.07768539214285713,0.1950512915024859,-1852.0136369834404
0.07768539214285713,0.13819765978853418,-1320.148686892704
0.07768539214285713,0.09772050238058397,-938.1116013697987
0.07768539214285713,0.07976187321895228,-766.9309108600031
0.07768539214285713,0.06909882989426709,-666.3682890019713
0.07768539214285713,0.06180387232371033,-597.8725661320085
0.20619295928571427,0.1950512915024859,-1852.0136369834404
0.20619295928571427,0.13819765978853418,-1320.148686892704
0.20619295928571427,0.09772050238058397,-938.1116013697987
0.20619295928571427,0.07976187321895228,-766.9309108600031
0.20619295928571427,0.06909882989426709,-666.3682890019713
0.20619295928571427,0.06180387232371033,-597.8725661320085
0.3347005264285714,0.1950512915024859,-1852.0136369834404
0.3347005264285714,0.13819765978853418,-1320.148686892704
0.3347005264285714,0.09772050238058397,-938.1116013697987
0.3347005264285714,0.07976187321895228,-766.9309108600031
0.3347005264285714,0.06909882989426709,-666.3682890019713
0.3347005264285714,0.06180387232371033,-597.8725661320085
0.46320809357142856,0.1950512915024859,-1852.0136369834404
0.46320809357142856,0.13819765978853418,-1320.148686892704
0.46320809357142856,0.09772050238058397,-938.1116013697987
0.46320809357142856,0.07976187321895228,-766.9309108600031
0.46320809357142856,0.06909882989426709,-666.3682890019713
0.46320809357142856,0.06180387232371033,-597.8725661320085
0.5917156607142857,0.1950512915024859,-1852.0136369834404
0.5917156607142857,0.13819765978853418,-1320.148686892704
0.5917156607142857,0.09772050238058397,-938.1116013697987
0.5917156607142857,0.07976187321895228,-766.9309108600031
0.5917156607142857,0.06909882989426709,-666.3682890019713
0.5917156607142857,0.06180387232371033,-597.8725661320085
0.7202232278571428,0.1950512915024859,-1852.0136369834404
0.7202232278571428,0.13819765978853418,-1320.148686892704
0.7202232278571428,0.09772050238058397,-938.1116013697987
0.7202232278571428,0.07976187321895228,-766.9309108600031
0.7202232278571428,0.06909882989426709,-666.3682890019713
0.7202232278571428,0.06180387232371033,-597.8725661320085
0.848730795,0.1950512915024859,-1852.0136369834404
0.848730795,0.13819765978853418,-1320.148686892704
0.848730795,0.09772050238058397,-938.1116013697987
0.848730795,0.07976187321895228,-766.9309108600031
0.848730795,0.06909882989426709,-666.3682890019713
0.848730795,0.06180387232371033,-597.8725661320085
